field,value
volume,2025-01-01 00:00:00
pagine,323
formato,23
collezion,"COMMENTARIO TEOLOGICO DEL N.T.-SUPPLEMENTI, N. 5/S"
note_sp,FRONT. AGG.
cod_isbn,88-394-0542-9
data_crea,2000-01-20 00:00:00
n_scheda,23118
segnatura,BL
noName,"6,XLIII/4-S"
cod_sez,BL
n_s_sez,6
autore,"SCHNACKENBURG, RUDOLF"
collabor,"BASSANI FRANCO,TRAD."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1995
volume,2025-01-01 00:00:00
pagine,451
formato,23
collezion,"COMMENTARIO TEOLOGICO DEL N.T.-SUPPLEMENTI, N. 4/S"
note_sp,FRONT. AGG.
cod_isbn,88-394-0529-I
data_crea,2000-01-20 00:00:00
n_scheda,23117
segnatura,BL
noName,"6,XLIII/2-S"
cod_sez,BL
n_s_sez,6
autore,"SCHNACKENBURG, RUDOLF"
titolo,IL MESSAGGIO MORALE DEL NUOVO TESTAMENTO. V. II. I PRIMI PREDICATORI CRISTIANI
collabor,"TOMASONI FRANCESCO,TRAD."
luogo_pub,BRESCIA
editore,PAIDEIA
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,370
formato,23
collezion,"COMMENTARIO TEOLOGICO DEL N.T.-SUPPLEMENTI, N. 2/S"
note_sp,FRONT. AGG.
cod_isbn,88-394-0449-X
data_crea,2000-01-20 00:00:00
n_scheda,23116
segnatura,BL
noName,"6,XLIII/1/S"
cod_sez,BL
n_s_sez,6
autore,"SCHNACKENBURG, RUDOLF"
titolo,IL MESSAGGIO MORALE DEL NUOVO TESTAMENTO. V. I. DA GESU` ALLA CHIESA PRIMITIVA
collabor,"ANGILLETTA PANINI M.,TRAD. / TOMASONI F.,CURAT."
edizione,"NUOVA, RIV."
luogo_pub,BRESCIA
editore,PAIDEIA
